,Motley Fool Sentiment,Jim Cramer Sentiment,Paul Krugman Sentiment,Justin Wolfers Sentiment,Bloomberg Sentiment,Fin Times Sentiment,CNBC Sentiment,WSJ Sentiment,CNN Sentiment,Daily RUT,Daily DJI,Daily GSPC,Daily IXIC,Daily GDAXI,Daily XAX,prior motley,prior jim,prior paul,prior justin,prior bloomberg,prior ft,prior cnbc,prior wsj,prior cnn,target dow,target nasdaq,target nyse,target dow prior,target nasdaq prior,target nyse prior
Motley Fool Sentiment,1.0,0.42924322315604035,-0.2727708760195843,-0.3952995396830938,0.14980493327725383,-0.42087056374592074,-0.09049054494035022,-0.4108620253925853,0.4226864171351955,-0.4055924675594682,-0.21190712724895105,-0.35428184640893284,-0.6651380928930084,0.39494135044694967,-0.5682037213587918,0.284240962226435,0.15643527554657732,-0.059612437182644626,-0.429724510661082,0.30907466242388576,-0.41913668182570807,-0.3544728827356847,-0.5729575069590431,0.10583562271298427,-0.4533620413998466,-0.809420942124234,0.5230660999437406,-0.03307717864814674,-0.40144943688160317,0.1973895671074789
Jim Cramer Sentiment,0.42924322315604035,1.0,0.2792703785891303,-0.05790186199156154,0.284276701706701,-0.46909719257873284,-0.5282257880032358,-0.19964534518531515,0.7567944439245493,-0.2897202158131444,-0.3707266630979105,-0.6171846532148979,-0.6302354233908168,0.13177323279195333,0.020092699372230946,0.06201458516226488,-0.2995263482357895,0.08570189381765837,0.31633551312479535,-0.2955756181037672,0.19402385702540584,0.18000627569080316,-0.07857535875937993,0.2614196253580788,-0.4144139036684632,-0.37499329281961735,0.8887807494440254,0.17412254254703793,-0.12468294104794671,-0.07965406796013016
Paul Krugman Sentiment,-0.2727708760195843,0.2792703785891303,1.0,0.06781030477991669,0.02522448502624187,0.37318201796378525,-0.19834814843921478,0.06097965603944151,0.18884045317947565,0.5169269058187297,0.4287408157026136,-0.019662507719224946,-0.18747695610025364,0.2419984165358066,0.6390093172420964,0.24123922337472362,-0.21268609226714696,-0.11479536738048968,0.8118317715560113,-0.2130687272823779,0.2581684678262591,0.4815630483626055,0.2616283683958626,0.20316282563411173,0.3164651401708568,0.10184905957789471,0.3068845483483189,0.38707999218015476,0.2970582525128056,-0.22347682116564063
Justin Wolfers Sentiment,-0.3952995396830938,-0.05790186199156154,0.06781030477991669,1.0,-0.30637942717412575,0.37714224051329176,0.389643040727946,0.47268852496637964,0.08553598245931651,0.23723579933839772,0.27457646231989336,0.12961480278340956,0.325229624648867,-0.44968169562777344,0.2763877148229854,-0.5251599055757387,-0.48653308509746185,-0.09206841002248538,0.39127850867228176,-0.28782578579858653,0.38672839359732536,0.4863115507380376,-0.01265136921809918,-0.7935727232511585,0.3582671026323069,0.6984558503563761,-0.11763474892212175,0.2987010201404105,0.43206047815286747,-0.18364370747902387
Bloomberg Sentiment,0.14980493327725383,0.284276701706701,0.02522448502624187,-0.30637942717412575,1.0,-0.3132675296423631,0.12324732622428952,-0.6265386488629836,0.2281866816715355,-0.44829428805986227,0.014884485589677393,-0.03015210660158755,-0.5038262245112031,0.49597246737354345,0.39368480357330277,-0.42016322767022884,-0.1681070813831754,0.5702255014712316,0.2767187183177178,-0.17103708364005663,0.3422842662418897,-0.25275974271596346,0.5050972058389992,0.15202912544430022,0.3978455239752179,-0.07498355877807378,0.1395566709162001,0.3396566579899378,0.447489077229668,-0.375769786498602
Fin Times Sentiment,-0.42087056374592074,-0.46909719257873284,0.37318201796378525,0.37714224051329176,-0.3132675296423631,1.0,0.6435685005403593,0.41326063929416146,-0.18527870044381964,0.3006950369180216,0.3570716305819637,0.17751712311943163,0.3012373501674173,-0.15196199705205216,0.34429142122387996,-0.09890993163654345,0.3363892947558784,0.049822632147547945,0.4149976232121453,0.07832147496210919,-0.2471513849840329,-0.034790733974898846,-0.052110824980423125,-0.2868943238759656,0.5576063179664951,0.3455728422502095,-0.4320554441316793,0.057490842883243395,0.3865692565106056,0.34594004369607234
CNBC Sentiment,-0.09049054494035022,-0.5282257880032358,-0.19834814843921478,0.389643040727946,0.12324732622428952,0.6435685005403593,1.0,-0.049560659255456635,-0.13996183159155481,-0.23548082419601846,0.22484550197238404,0.13430253503626086,0.04491964308106771,-0.09441150823210162,0.07644147520842574,-0.4680230005562986,0.24405177094185834,0.43546800066013247,0.05591923362345315,0.22653591487787644,-0.0559700209502551,-0.2435707419081004,-0.13104234229123057,-0.5452559274484661,0.6757798858953398,0.23880671132984815,-0.45894511344622835,0.2714324167574234,0.4572559661217808,0.22127390750538467
WSJ Sentiment,-0.4108620253925853,-0.19964534518531515,0.06097965603944151,0.47268852496637964,-0.6265386488629836,0.41326063929416146,-0.049560659255456635,1.0,0.04514076028762308,0.5762319764826968,0.253217566699291,0.35772036243637967,0.5419702507625395,-0.11140730525579626,0.15300853703796125,0.061599166245456305,0.07535585885455018,-0.5096235886101339,0.19995051564445945,-0.5436315958772757,-0.22022147049141863,-0.06994634739581566,0.1722527130801229,-0.22588351379722968,-0.13656863458787075,0.5186007681243369,-0.43518355521308855,-0.6142290333024488,-0.0630500259985634,0.22357595415366863
CNN Sentiment,0.4226864171351955,0.7567944439245493,0.18884045317947565,0.08553598245931651,0.2281866816715355,-0.18527870044381964,-0.13996183159155481,0.04514076028762308,1.0,-0.31831971438122525,-0.24362287955561246,-0.5772949374699848,-0.76887593775775,0.3228972011688128,-0.07903478212797589,0.18078232967314403,0.05977903214278788,0.2804835295524863,0.33530741424681787,-0.5502518510015848,0.19314998890243879,-0.13463631515414354,-0.03742068026255682,0.23231457747574275,-0.32545011661879514,-0.34293394069974786,0.6030075327542775,-0.03294239888971209,-0.24679820525067134,0.2821606840187392
Daily RUT,-0.4055924675594682,-0.2897202158131444,0.5169269058187297,0.23723579933839772,-0.44829428805986227,0.3006950369180216,-0.23548082419601846,0.5762319764826968,-0.31831971438122525,1.0,0.7764255827164255,0.6936680548410318,0.49950063018298313,0.19855716084563388,0.4703094613506576,0.2044471594500359,-0.32675502344452395,-0.7807198728677651,0.3456701139238368,-0.2466351752601421,-0.019599400948964098,0.36111271296534975,0.3171734707524816,-0.19310934051155668,0.18718216195148585,0.4862053208884677,-0.3333589269989715,-0.12428440351752627,0.18478770381234697,-0.3932699781699689
Daily DJI,-0.21190712724895105,-0.3707266630979105,0.4287408157026136,0.27457646231989336,0.014884485589677393,0.3570716305819637,0.22484550197238404,0.253217566699291,-0.24362287955561246,0.7764255827164255,1.0,0.8026316655822225,0.22310608213447175,0.49554373598058576,0.6091443701633673,-0.11490936539434031,-0.3775938597823898,-0.48195050034248044,0.42687822724879926,-0.19382777061051648,0.08165808178483698,0.1697116309516564,0.40368558184235565,-0.4360822800279508,0.6115497201047665,0.48352274625808966,-0.41745165623688524,0.16862470807888305,0.5310595548204289,-0.541359981947283
Daily GSPC,-0.35428184640893284,-0.6171846532148979,-0.019662507719224946,0.12961480278340956,-0.03015210660158755,0.17751712311943163,0.13430253503626086,0.35772036243637967,-0.5772949374699848,0.6936680548410318,0.8026316655822225,1.0,0.6114185597731164,0.3252256933032908,0.46644586534681126,-0.2542664996786427,-0.2828003896911039,-0.548957846075449,0.06195186215760394,-0.15608964024864871,-0.09365699890265654,-0.07378024764671226,0.5173403019229718,-0.41363921405814835,0.4567219469984628,0.6136327422922893,-0.7542641992939624,-0.19807716913720128,0.4431960886685992,-0.5262739194413283
Daily IXIC,-0.6651380928930084,-0.6302354233908168,-0.18747695610025364,0.325229624648867,-0.5038262245112031,0.3012373501674173,0.04491964308106771,0.5419702507625395,-0.76887593775775,0.49950063018298313,0.22310608213447175,0.6114185597731164,1.0,-0.49014956964270645,0.19070276262805064,-0.2922958594268693,-0.14721962542620604,-0.4613756941943645,-0.12374986807741858,0.07275009786258609,-0.16184691470779794,0.1616746968812125,0.17101734744321095,-0.3978203983011133,0.17569983704285067,0.6934701456898669,-0.6851548571535131,-0.2751009383496094,0.23933467481968468,-0.17953931324848874
Daily GDAXI,0.39494135044694967,0.13177323279195333,0.2419984165358066,-0.44968169562777344,0.49597246737354345,-0.15196199705205216,-0.09441150823210162,-0.11140730525579626,0.3228972011688128,0.19855716084563388,0.49554373598058576,0.3252256933032908,-0.49014956964270645,1.0,0.25975303790674414,0.24983665499614063,0.07374714916429159,-0.1201810540179863,0.2023356281339402,-0.3386616062717056,-0.1165465185727349,-0.4514557067525772,0.4100017872983561,0.27664328744579086,0.0957064874377443,-0.25491953003356294,-0.021940063113310808,-0.17267722962760326,0.04153280843449406,-0.183519762321482
Daily XAX,-0.5682037213587918,0.020092699372230946,0.6390093172420964,0.2763877148229854,0.39368480357330277,0.34429142122387996,0.07644147520842574,0.15300853703796125,-0.07903478212797589,0.4703094613506576,0.6091443701633673,0.46644586534681126,0.19070276262805064,0.25975303790674414,1.0,-0.46237830307963035,-0.4671117939213389,-0.0383110314877126,0.8617689223414736,-0.43811181987946135,0.357605345700228,0.2553140806580114,0.7494548647465499,-0.20289758941507738,0.7189271917719712,0.6574416419557086,-0.19519870403264797,0.3073775056312795,0.8270473133337267,-0.5858132211961012
prior motley,0.284240962226435,0.06201458516226488,0.24123922337472362,-0.5251599055757387,-0.42016322767022884,-0.09890993163654345,-0.4680230005562986,0.061599166245456305,0.18078232967314403,0.2044471594500359,-0.11490936539434031,-0.2542664996786427,-0.2922958594268693,0.24983665499614063,-0.46237830307963035,1.0,0.4912653827571654,-0.23536970921016628,-0.25717689426004803,0.07688389427514569,-0.2553268775061263,-0.0682863124450902,-0.2858820624247537,0.6954892722393011,-0.6032735700606554,-0.6227203416424484,0.23667856752689556,-0.35178889761425636,-0.8060002759747089,0.44876694386445193
prior jim,0.15643527554657732,-0.2995263482357895,-0.21268609226714696,-0.48653308509746185,-0.1681070813831754,0.3363892947558784,0.24405177094185834,0.07535585885455018,0.05977903214278788,-0.32675502344452395,-0.3775938597823898,-0.2828003896911039,-0.14721962542620604,0.07374714916429159,-0.4671117939213389,0.4912653827571654,1.0,0.32664750693548067,-0.3559814062459733,0.18802001036534044,-0.566003351126257,-0.7006473317791566,-0.2674504359354636,0.522037229641553,-0.2602522838657042,-0.489882696143566,-0.24272242769372765,-0.5319272098543278,-0.5125966696323457,0.8943098094845501
prior paul,-0.059612437182644626,0.08570189381765837,-0.11479536738048968,-0.09206841002248538,0.5702255014712316,0.049822632147547945,0.43546800066013247,-0.5096235886101339,0.2804835295524863,-0.7807198728677651,-0.48195050034248044,-0.548957846075449,-0.4613756941943645,-0.1201810540179863,-0.0383110314877126,-0.23536970921016628,0.32664750693548067,1.0,0.10043244997603851,0.018015272553587626,0.3756232029837586,-0.1968738751870599,0.07364156816083589,0.24681556130740848,0.2554427558875689,-0.16532320252564658,0.12014085240413908,0.32540425286020747,0.09521865295699054,0.3059030813781495
prior justin,-0.429724510661082,0.31633551312479535,0.8118317715560113,0.39127850867228176,0.2767187183177178,0.4149976232121453,0.05591923362345315,0.19995051564445945,0.33530741424681787,0.3456701139238368,0.42687822724879926,0.06195186215760394,-0.12374986807741858,0.2023356281339402,0.8617689223414736,-0.25717689426004803,-0.3559814062459733,0.10043244997603851,1.0,-0.5391744304285515,0.4301124911116606,0.3446720905977386,0.526771167464753,-0.09102792993113515,0.540153769973963,0.4542404126198502,0.14088150156449936,0.37382974864569396,0.6234184655426482,-0.307868938925007
prior bloomberg,0.30907466242388576,-0.2955756181037672,-0.2130687272823779,-0.28782578579858653,-0.17103708364005663,0.07832147496210919,0.22653591487787644,-0.5436315958772757,-0.5502518510015848,-0.2466351752601421,-0.19382777061051648,-0.15608964024864871,0.07275009786258609,-0.3386616062717056,-0.43811181987946135,0.07688389427514569,0.18802001036534044,0.018015272553587626,-0.5391744304285515,1.0,-0.3980326625893189,0.0785366339759935,-0.6898406432528966,-0.08082970946856874,0.029297128077747092,-0.4290858665375067,0.08341379443663223,0.3309013773792735,-0.07894467054479301,0.1195297307882728
prior ft,-0.41913668182570807,0.19402385702540584,0.2581684678262591,0.38672839359732536,0.3422842662418897,-0.2471513849840329,-0.0559700209502551,-0.22022147049141863,0.19314998890243879,-0.019599400948964098,0.08165808178483698,-0.09365699890265654,-0.16184691470779794,-0.1165465185727349,0.357605345700228,-0.2553268775061263,-0.566003351126257,0.3756232029837586,0.4301124911116606,-0.3980326625893189,1.0,0.6112626629650995,0.44767148020614234,-0.06663154018751258,0.3048116659595089,0.3956407383446333,0.1937390645349168,0.5683395597974518,0.25962884406610065,-0.4972339509271126
prior cnbc,-0.3544728827356847,0.18000627569080316,0.4815630483626055,0.4863115507380376,-0.25275974271596346,-0.034790733974898846,-0.2435707419081004,-0.06994634739581566,-0.13463631515414354,0.36111271296534975,0.1697116309516564,-0.07378024764671226,0.1616746968812125,-0.4514557067525772,0.2553140806580114,-0.0682863124450902,-0.7006473317791566,-0.1968738751870599,0.3446720905977386,0.0785366339759935,0.6112626629650995,1.0,-0.060551402593718405,-0.2629127091319649,0.1573779649967751,0.3244368537561548,0.36950768244227805,0.6630353539874898,0.21110489184251208,-0.5159835060565934
prior wsj,-0.5729575069590431,-0.07857535875937993,0.2616283683958626,-0.01265136921809918,0.5050972058389992,-0.052110824980423125,-0.13104234229123057,0.1722527130801229,-0.03742068026255682,0.3171734707524816,0.40368558184235565,0.5173403019229718,0.17101734744321095,0.4100017872983561,0.7494548647465499,-0.2858820624247537,-0.2674504359354636,0.07364156816083589,0.526771167464753,-0.6898406432528966,0.44767148020614234,-0.060551402593718405,1.0,0.12869511592456626,0.41136781454228677,0.5812244432310977,-0.3921111243550915,-0.10568807382394614,0.4531943273627866,-0.49061910507737505
prior cnn,0.10583562271298427,0.2614196253580788,0.20316282563411173,-0.7935727232511585,0.15202912544430022,-0.2868943238759656,-0.5452559274484661,-0.22588351379722968,0.23231457747574275,-0.19310934051155668,-0.4360822800279508,-0.41363921405814835,-0.3978203983011133,0.27664328744579086,-0.20289758941507738,0.6954892722393011,0.522037229641553,0.24681556130740848,-0.09102792993113515,-0.08082970946856874,-0.06663154018751258,-0.2629127091319649,0.12869511592456626,1.0,-0.485483190204919,-0.5864613303832049,0.2767435469092686,-0.32234001941250207,-0.5859226467325799,0.36543322539238776
target dow,-0.4533620413998466,-0.4144139036684632,0.3164651401708568,0.3582671026323069,0.3978455239752179,0.5576063179664951,0.6757798858953398,-0.13656863458787075,-0.32545011661879514,0.18718216195148585,0.6115497201047665,0.4567219469984628,0.17569983704285067,0.0957064874377443,0.7189271917719712,-0.6032735700606554,-0.2602522838657042,0.2554427558875689,0.540153769973963,0.029297128077747092,0.3048116659595089,0.1573779649967751,0.41136781454228677,-0.485483190204919,1.0,0.5738648694295082,-0.4175473015856752,0.5595543467929797,0.8857282577019105,-0.4184742536978097
target nasdaq,-0.809420942124234,-0.37499329281961735,0.10184905957789471,0.6984558503563761,-0.07498355877807378,0.3455728422502095,0.23880671132984815,0.5186007681243369,-0.34293394069974786,0.4862053208884677,0.48352274625808966,0.6136327422922893,0.6934701456898669,-0.25491953003356294,0.6574416419557086,-0.6227203416424484,-0.489882696143566,-0.16532320252564658,0.4542404126198502,-0.4290858665375067,0.3956407383446333,0.3244368537561548,0.5812244432310977,-0.5864613303832049,0.5738648694295082,1.0,-0.5740262647417143,0.07413241951560204,0.6510705204099797,-0.4666048089576598
target nyse,0.5230660999437406,0.8887807494440254,0.3068845483483189,-0.11763474892212175,0.1395566709162001,-0.4320554441316793,-0.45894511344622835,-0.43518355521308855,0.6030075327542775,-0.3333589269989715,-0.41745165623688524,-0.7542641992939624,-0.6851548571535131,-0.021940063113310808,-0.19519870403264797,0.23667856752689556,-0.24272242769372765,0.12014085240413908,0.14088150156449936,0.08341379443663223,0.1937390645349168,0.36950768244227805,-0.3921111243550915,0.2767435469092686,-0.4175473015856752,-0.5740262647417143,1.0,0.40846105074847094,-0.24991299967508437,-0.01960818685884699
target dow prior,-0.03307717864814674,0.17412254254703793,0.38707999218015476,0.2987010201404105,0.3396566579899378,0.057490842883243395,0.2714324167574234,-0.6142290333024488,-0.03294239888971209,-0.12428440351752627,0.16862470807888305,-0.19807716913720128,-0.2751009383496094,-0.17267722962760326,0.3073775056312795,-0.35178889761425636,-0.5319272098543278,0.32540425286020747,0.37382974864569396,0.3309013773792735,0.5683395597974518,0.6630353539874898,-0.10568807382394614,-0.32234001941250207,0.5595543467929797,0.07413241951560204,0.40846105074847094,1.0,0.5213139947740068,-0.47763931062335807
target nasdaq prior,-0.40144943688160317,-0.12468294104794671,0.2970582525128056,0.43206047815286747,0.447489077229668,0.3865692565106056,0.4572559661217808,-0.0630500259985634,-0.24679820525067134,0.18478770381234697,0.5310595548204289,0.4431960886685992,0.23933467481968468,0.04153280843449406,0.8270473133337267,-0.8060002759747089,-0.5125966696323457,0.09521865295699054,0.6234184655426482,-0.07894467054479301,0.25962884406610065,0.21110489184251208,0.4531943273627866,-0.5859226467325799,0.8857282577019105,0.6510705204099797,-0.24991299967508437,0.5213139947740068,1.0,-0.5908785415385958
target nyse prior,0.1973895671074789,-0.07965406796013016,-0.22347682116564063,-0.18364370747902387,-0.375769786498602,0.34594004369607234,0.22127390750538467,0.22357595415366863,0.2821606840187392,-0.3932699781699689,-0.541359981947283,-0.5262739194413283,-0.17953931324848874,-0.183519762321482,-0.5858132211961012,0.44876694386445193,0.8943098094845501,0.3059030813781495,-0.307868938925007,0.1195297307882728,-0.4972339509271126,-0.5159835060565934,-0.49061910507737505,0.36543322539238776,-0.4184742536978097,-0.4666048089576598,-0.01960818685884699,-0.47763931062335807,-0.5908785415385958,1.0
